ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000002031,0.3396025400844014,0.11342571224574086,1.0,Not Significant
ENSMUSG00000002032,0.0764242628794598,0.9068592149670085,1.0,Not Significant
ENSMUSG00000002033,0.29723634585306924,0.029490181740951363,1.0,Not Significant
ENSMUSG00000002043,0.4630937382497562,0.05693092660882161,1.0,Not Significant
ENSMUSG00000002052,0.03381693306676237,0.8917820351596345,1.0,Not Significant
ENSMUSG00000002055,0.16465983849723176,0.7035338403946432,1.0,Not Significant
ENSMUSG00000002058,0.07317693912016443,0.9071743826999288,1.0,Not Significant
ENSMUSG00000002059,0.7597040623801672,0.4743913413411345,1.0,Not Significant
ENSMUSG00000002064,0.3063602068556719,0.1162331554506232,1.0,Not Significant
ENSMUSG00000002068,0.10549400466774395,0.781932537579158,1.0,Not Significant
ENSMUSG00000002076,-0.06009530630933463,0.5022300997857323,1.0,Not Significant
ENSMUSG00000002083,0.32603896081501116,0.38767773397274197,1.0,Not Significant
ENSMUSG00000002102,0.2056000406833105,0.2961414514797661,1.0,Not Significant
ENSMUSG00000002103,0.06170849888350194,0.7542000513717055,1.0,Not Significant
ENSMUSG00000002104,-0.40252621915003634,0.6707006483471648,1.0,Not Significant
ENSMUSG00000002105,0.252673597611591,0.2261348835710351,1.0,Not Significant
ENSMUSG00000002107,0.1464793837398366,0.6064115408094924,1.0,Not Significant
ENSMUSG00000002108,0.21451888756521775,0.4722326339617575,1.0,Not Significant
ENSMUSG00000002109,0.36510778529179744,0.09315412424762576,1.0,Not Significant
ENSMUSG00000002111,0.49700039238221105,0.2383670228369359,1.0,Not Significant
ENSMUSG00000002129,0.06157614169109049,0.7685491480984366,1.0,Not Significant
ENSMUSG00000002147,0.004941510652659353,0.9825275660491732,1.0,Not Significant
ENSMUSG00000002204,-0.04912433495993085,0.8937608956141495,1.0,Not Significant
ENSMUSG00000002205,0.20070226470574326,0.2865511794028739,1.0,Not Significant
