ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001819,0.0034081011894613023,0.6225618420383303,1.0,Not Significant
ENSMUSG00000001827,-0.028602628730191315,0.5262010317910304,1.0,Not Significant
ENSMUSG00000001829,0.044442702891450026,0.8206739228016872,1.0,Not Significant
ENSMUSG00000001833,-0.08741319610565768,0.7033795921558135,1.0,Not Significant
ENSMUSG00000001844,0.16530250511373712,0.5048695895699091,1.0,Not Significant
ENSMUSG00000001847,0.019491397232611618,0.7989842942037819,1.0,Not Significant
ENSMUSG00000001855,0.1477489329517896,0.5333668153486106,1.0,Not Significant
ENSMUSG00000001864,0.0637572488958007,0.7864286470629511,1.0,Not Significant
ENSMUSG00000001865,-0.52645064066559,0.29627946150465295,1.0,Not Significant
ENSMUSG00000001870,0.051946724809451617,0.7466379954445521,1.0,Not Significant
ENSMUSG00000001891,-0.12504752127544094,0.7168621264907623,1.0,Not Significant
ENSMUSG00000001901,0.07371189974118336,0.30415549697756195,1.0,Not Significant
ENSMUSG00000001909,0.08880879467941272,0.6984148864936173,1.0,Not Significant
ENSMUSG00000001910,0.1375861676380028,0.7901949949086232,1.0,Not Significant
ENSMUSG00000001911,0.24411817228264798,0.4354704924248296,1.0,Not Significant
ENSMUSG00000001918,0.009995765977352633,0.9672016959031722,1.0,Not Significant
ENSMUSG00000001924,0.054310217004420736,0.8235477210014606,1.0,Not Significant
ENSMUSG00000001930,0.3032666177290828,0.5885980395210626,1.0,Not Significant
ENSMUSG00000001942,-0.021407017836342135,0.7377403782881492,1.0,Not Significant
ENSMUSG00000001943,0.028857019066288903,0.9018052678929576,1.0,Not Significant
ENSMUSG00000001946,0.12528922121369934,0.7222929848620153,1.0,Not Significant
ENSMUSG00000001948,0.19471152251316548,0.2273101357071429,1.0,Not Significant
ENSMUSG00000001962,0.024391096517619282,0.9062431097346697,1.0,Not Significant
ENSMUSG00000001964,-0.03054761936284489,0.8271147879414787,1.0,Not Significant
ENSMUSG00000001983,0.04937912521810395,0.7345331539473845,1.0,Not Significant
